Date,Tweets,Location,Sentiment Polarity
2019-03-05 16:25:03,b How could u even think of ur name and Noble in same line 4get about prize that to b peace U might ge xe2 x80 xa6,b'secunderabad',0.3
2019-03-05 16:25:03,b RT harsha In the fight on number of casualties and others have forgotten that the IAF has executed a task no oth xe2 x80 xa6,"b'Melbourne, Victoria'",0.0
2019-03-05 16:25:02,b RT According to congress leader Mr Our IAF is lying n nIs it acceptable Mr,"b'Bhopal, India'",0.0
2019-03-05 16:25:02,b By your logic 28 and gang should be sacked by,b'HUBLI',0.0
2019-03-05 16:25:00,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'India',0.5
2019-03-05 16:24:59,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,"b'Indore, Madhya Pradesh '",0.275
2019-03-05 16:24:56,b are you happy now,"b'Mumbai, India'",0.8
2019-03-05 16:24:54,b RT Delhi Congress Chief Ms No Alliance with AAP We told Congress President and Rahulji agree xe2 x80 xa6,b'',0.0
2019-03-05 16:24:51,b RT Hariom Can U name even 1 political party in Pakistan amp our Kashmir which has not questioned the SurgicalStrike2 nU can t coz a xe2 x80 xa6,b'India',0.0
2019-03-05 16:24:51,Bitter Gujju Shame on Congress Party and the Republic of Pakistan now openly supporting the Congress;,b'',0.075
2019-03-05 16:24:47,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'\xf0\x9f\x87\xae\xf0\x9f\x87\xb3',0.5
2019-03-05 16:24:47,b BJP n Tweet for BJP 1 4Rs n Vote to BJP for money BJP leader n Pulwama will give 22 seats for BJP BJP leader n F xe2 x80 xa6,"b'New Delhi, India'",0.0
2019-03-05 16:24:46,b Just like when he and his friends made family of sukanya devi disappear,b'India',0.0
2019-03-05 16:24:45,b RT Verma is NOT from Harvard as simple as that unless ofcourse this is another hoax on the lines of w xe2 x80 xa6,b'India',0.0
